t,y
0,1.116849211
0.033311111,1.116849211
0.066633333,1.118343231
0.099955556,1.118709542
0.133277778,1.118516302
0.1666,1.117843506
0.199922222,1.117296535
0.233244444,1.11711435
0.266566667,1.118464102
0.299888889,1.116692411
0.3332,1.084875426
0.366522222,1.062305412
0.399844444,1.021716726
0.433455556,0.975422923
0.466477778,0.921721851
0.4998,0.860292508
0.533122222,0.789353259
0.566444444,0.712711684
0.599766667,0.62667025
0.633088889,0.540795687
0.666411111,0.451707632
0.699733333,0.353568393
0.735833333,0.250424252
0.766377778,0.141376312
0.799688889,0.033786372
0.833011111,0.031167885
0.866333333,0.068684571
0.899655556,0.132460947
0.932977778,0.153242101
0.9663,0.183856817
0.999611111,0.189583755
1.032933333,0.185136044
1.066266667,0.172470877
1.099577778,0.148370173
1.132911111,0.113345749
1.166222222,0.071144605
1.199544444,0.020653379
1.232866667,6.66E-05
1.266188889,0.044154504
1.299611111,0.059738446
1.332822222,0.072246599
1.366155556,0.066336639
1.399466667,0.05015988
1.432788889,0.021654621
1.466111111,0.018339914
1.499433333,0.017066289
1.532755556,0.038042704
1.566077778,0.031510001
1.5994,0.016177029
1.632711111,0.018865736
1.666022222,0.024456758
1.699355556,0.019395908
1.735355556,0.014980789
1.766022222,0.019166971
1.799311111,0.014169373
1.832633333,0.016622998
1.865955556,0.014925079
1.899277778,0.015143082
