t,y
5.964422222,0.015017684
5.997744444,0.038031917
6.031055556,0.062176166
6.064377778,0.062003756
6.0977,0.057320587
6.131022222,0.042463579
6.164333333,0.017882267
6.197666667,0.020445508
6.230988889,0.042383041
6.2643,
6.297622222,0.054404145
6.330944444,0.041450777
6.364277778,0.020725389
6.397588889,0.010362694
6.430911111,0.033678756
6.464233333,0.046632124
6.497555556,0.046632124
6.530877778,0.03626943
6.5642,0.018134715
6.5975,0.012953368
6.630833333,0.033678756
6.664155556,0.041450777
6.697477778,0.038860104
6.7308,0.025906736
6.764122222,0.005181347
6.797444444,0.023316062
6.830855556,0.03626943
6.864077778,0.03626943
6.8974,0.025906736
6.930722222,0.007772021
6.964044444,0.018134715
6.997366667,0.025906736
7.030688889,0.025913488
7.064,0.016667828
7.097333333,0.002062334
7.130644444,0.017417488
7.163966667,0.018885437
7.197288889,0.018292204
7.230611111,0.005451204
7.263922222,0.011127139
7.297244444,0.019698305
7.330566667,0.018431417
7.363888889,0.007381212
7.397211111,0.009107828
7.430533333,0.018480964
7.463855556,0.016803122
7.497177778,0.005544994
7.530488889,0.008503183
7.563822222,0.015722369
7.597155556,0.012090205
7.630455556,9.29E-04
7.663788889,0.011234864
7.6971,0.0145978
7.730422222,0.006192695
7.763733333,0.008394086
7.797055556,0.013307472
7.830644444,0.008342664
7.8637,0.005683234
7.897022222,0.010254324
7.930344444,0.004792272
7.963666667,0.004656894
7.996988889,0.007518047
8.030311111,9.73E-04
8.063633333,0.005392089
8.096988889,0.004605988
8.130277778,9.06E-04
