t,y
0,1.106217617
0.033322222,1.106217617
0.066644444,1.106217617
0.099966667,1.106211279
0.133288889,1.10617387
0.1666,1.105248863
0.199922222,1.104598121
0.233244444,1.104337785
0.266566667,1.104397961
0.299888889,1.104594429
0.333211111,1.104462822
0.366522222,1.105650121
0.399888889,1.105354114
0.433166667,1.094028254
0.466488889,1.068379624
0.499811111,1.034244914
0.533133333,0.989741873
0.566455556,0.934472886
0.599777778,0.869459935
0.633088889,0.793750404
0.666422222,0.70893027
0.699744444,0.614452414
0.733055556,0.508971951
0.766377778,0.3930274
0.7997,0.272048866
0.833022222,0.162668692
0.866344444,0.01917684
0.899655556,0.106217617
0.932988889,0.227979275
0.9663,0.32642487
0.999622222,0.417098446
1.032944444,0.497409326
1.066266667,0.559585492
1.099588889,0.613989637
1.1329,0.658031088
1.166233333,0.686528497
1.199544444,0.70984456
1.232866667,0.71761658
1.266188889,0.71761658
1.299522222,0.706735871
1.332833333,0.685210189
1.366144444,0.653966113
1.399477778,0.612846805
1.432788889,0.558932529
1.466111111,0.495387876
1.499433333,0.423091918
1.532744444,0.342486873
1.566066667,0.251085963
1.599388889,0.152013483
1.632711111,0.047492606
1.666033333,0.064766839
1.699344444,0.158031088
1.732677778,0.238341969
1.766,0.313471503
1.799322222,0.365284974
1.832655556,0.414507772
1.866022222,0.445595855
1.899277778,0.470311827
1.9326,0.483436493
1.965922222,0.486199138
1.999244444,0.479060133
2.032566667,0.460577024
2.065877778,0.432648966
2.099244444,0.394001707
2.132533333,0.344042511
2.165855556,0.286372215
2.199177778,0.216432048
2.2325,0.136483782
2.265811111,0.047388249
2.299133333,0.044041451
2.332455556,0.126943005
2.365788889,0.194300518
2.3991,0.250818293
2.432411111,0.295658111
2.465744444,0.328910903
2.499055556,0.351981539
2.532388889,0.363359125
2.5657,0.36470656
2.599022222,0.355359795
2.632333333,0.336783825
2.665666667,0.307028765
2.698977778,0.266649618
2.732311111,0.215908485
2.765633333,0.156126357
2.798944444,0.085094106
2.832266667,0.008729013
2.865588889,0.067357513
2.898911111,0.137305699
2.932233333,0.187032758
2.965544444,0.228886576
2.998866667,0.259730136
3.032188889,0.278893103
3.065511111,0.287319474
3.098833333,0.285376827
3.132155556,0.273147655
3.165477778,0.251075077
3.1988,0.218311427
3.232122222,0.175016494
3.265444444,0.121635147
3.298755556,0.058701879
3.332077778,0.010148845
3.3654,0.07253886
3.398722222,0.132124352
3.432044444,0.16997799
3.465355556,0.201548273
3.498677778,0.222194802
3.532011111,0.231712351
3.565322222,0.231580374
3.598633333,0.220488853
3.631977778,0.198842889
3.665288889,0.16696557
3.698611111,0.125626768
3.731933333,0.074137176
3.765244444,0.012381394
3.798566667,0.046632124
3.8319,0.098445596
3.865211111,0.142487047
3.898533333,0.166570675
3.931844444,0.184906106
3.965166667,0.192632752
3.998488889,0.190045769
4.031811111,0.175901975
4.065133333,0.151761362
4.098455556,0.117939451
4.131777778,0.072882271
4.1651,0.016746485
4.198422222,0.038860104
4.231744444,0.082901554
4.265066667,0.113989637
4.298377778,0.139651024
4.3317,0.151886159
4.365022222,0.153586833
4.398344444,0.145574688
4.431666667,0.125573105
4.464988889,0.097054335
4.4983,0.057305278
4.531622222,0.007831766
4.564944444,0.041450777
4.598266667,0.075129534
4.6316,0.104864238
4.664911111,0.122251378
4.698233333,0.129459369
4.731555556,0.12606258
4.764866667,0.112256521
4.798188889,0.088244004
4.831511111,0.052805592
4.864833333,0.007464689
4.898155556,0.025906736
4.931477778,0.064766839
4.9648,0.090673575
4.998111111,0.102546349
5.031433333,0.106418429
5.064755556,0.099966955
5.098077778,0.084307687
5.1314,0.055659457
5.164722222,0.018761638
5.198033333,0.01033367
5.231355556,0.047015857
5.264688889,0.069948187
5.298,0.088082902
5.331322222,0.090673575
5.364644444,0.077720207
5.397966667,0.059585492
5.431288889,0.031088083
5.464611111,0.007772021
5.497933333,0.041450777
5.531255556,0.064766839
5.564566667,0.076677573
5.597888889,0.079014603
5.631211111,0.070680351
5.664533333,0.05212208
5.697855556,0.023321798
5.731188889,0.02092476
5.7645,0.048391181
5.797811111,0.068211554
5.831144444,0.07270881
5.864455556,0.067918245
5.897777778,0.053138921
5.9311,0.028635442
